ticker,method,order_fraction,participation_limit,cost_scenario,sessions,mean_completion,mean_shortfall_bps,mean_vwap_slippage_bps
AMZN,POV,0.05,0.2,low,20,1.0,7.577194061328545,18.87938084104063
AMZN,TWAP,0.01,0.05,base,20,1.0,-8.393940821976106,1.9501409302798423
AMZN,TWAP,0.01,0.05,high,20,1.0,-5.316464717080072,5.03073015170502
AMZN,TWAP,0.01,0.05,low,20,1.0,-9.932678874423896,0.4098463195671419
AMZN,TWAP,0.01,0.1,base,20,1.0,-8.393511069925944,1.9505760956258222
AMZN,TWAP,0.01,0.1,high,20,1.0,-5.315576313632272,5.031626013772439
AMZN,TWAP,0.01,0.1,low,20,1.0,-9.932478448072732,0.41005113655273584
AMZN,TWAP,0.01,0.2,base,20,1.0,-8.393511069925944,1.9505760956258222
AMZN,TWAP,0.01,0.2,high,20,1.0,-5.315576313632272,5.031626013772439
AMZN,TWAP,0.01,0.2,low,20,1.0,-9.932478448072732,0.41005113655273584
AMZN,TWAP,0.03,0.05,base,20,1.0,-7.247698965528184,3.09999889405449
AMZN,TWAP,0.03,0.05,high,20,1.0,-3.444141207434638,6.907258456936516
AMZN,TWAP,0.03,0.05,low,20,1.0,-9.149477844577202,1.19636911261084
AMZN,TWAP,0.03,0.1,base,20,1.0,-7.606240966118551,2.7385884184603078
AMZN,TWAP,0.03,0.1,high,20,1.0,-3.741726296050781,6.606968794064417
AMZN,TWAP,0.03,0.1,low,20,1.0,-9.538498301154522,0.8043982306564225
AMZN,TWAP,0.03,0.2,base,20,1.0,-7.602971366983466,2.741880897339399
AMZN,TWAP,0.03,0.2,high,20,1.0,-3.7345050984554966,6.614227184516485
AMZN,TWAP,0.03,0.2,low,20,1.0,-9.537204501249837,0.8057077537488853
AMZN,TWAP,0.05,0.05,base,20,0.9068291103620318,-7.812129280452704,2.747997938441493
AMZN,TWAP,0.05,0.05,high,20,0.9068291103620318,-4.117319679896907,6.832112039297233
AMZN,TWAP,0.05,0.05,low,20,0.9068291103620318,-9.659534080731444,0.705940888012624
AMZN,TWAP,0.05,0.1,base,20,1.0,-7.031363239540897,3.3144853931990625
AMZN,TWAP,0.05,0.1,high,20,1.0,-2.6624995574042507,7.687624303775509
AMZN,TWAP,0.05,0.1,low,20,1.0,-9.215795080610308,1.1279159379098402
AMZN,TWAP,0.05,0.2,base,20,1.0,-7.060422776723951,3.284936761926704
AMZN,TWAP,0.05,0.2,high,20,1.0,-2.6500036667111155,7.699754107628243
AMZN,TWAP,0.05,0.2,low,20,1.0,-9.265632331733784,1.077528089072355
AMZN,VWAP,0.01,0.05,base,20,1.0,-7.867281507971431,2.6140041461098495
AMZN,VWAP,0.01,0.05,high,20,1.0,-4.88076680721676,5.603509784655403
AMZN,VWAP,0.01,0.05,low,20,1.0,-9.360538858341755,1.11925132684354
AMZN,VWAP,0.01,0.1,base,20,1.0,-7.867256722258664,2.614028950913949
AMZN,VWAP,0.01,0.1,high,20,1.0,-4.880698062803253,5.603578936829723
AMZN,VWAP,0.01,0.1,low,20,1.0,-9.360536051979398,1.1192539579625294
AMZN,VWAP,0.01,0.2,base,20,1.0,-7.867256722258664,2.614028950913949
AMZN,VWAP,0.01,0.2,high,20,1.0,-4.880698062803253,5.603578936829723
AMZN,VWAP,0.01,0.2,low,20,1.0,-9.360536051979398,1.1192539579625294
AMZN,VWAP,0.03,0.05,base,20,1.0,-7.156738938373695,3.3249560990445404
AMZN,VWAP,0.03,0.05,high,20,1.0,-3.4605129793640175,7.024788918134183
AMZN,VWAP,0.03,0.05,low,20,1.0,-9.004851917882181,1.4750396894963602
AMZN,VWAP,0.03,0.1,base,20,1.0,-7.143894862011598,3.338041617708842
AMZN,VWAP,0.03,0.1,high,20,1.0,-3.4341095607153056,7.051470954070771
AMZN,VWAP,0.03,0.1,low,20,1.0,-8.998787512663627,1.48132694952402
AMZN,VWAP,0.03,0.2,base,20,1.0,-7.143456550023837,3.3384847973320646
AMZN,VWAP,0.03,0.2,high,20,1.0,-3.433097718345068,7.052490629654907
AMZN,VWAP,0.03,0.2,low,20,1.0,-8.998635965867047,1.481481881167035
AMZN,VWAP,0.05,0.05,base,20,0.9564481135768572,-6.457376445004497,4.047401060740141
AMZN,VWAP,0.05,0.05,high,20,0.9564481135768572,-2.5699893083844203,8.122138056363859
AMZN,VWAP,0.05,0.05,low,20,0.9564481135768572,-8.401070013315072,2.0100325629279214
AMZN,VWAP,0.05,0.1,base,20,1.0,-6.650126704777482,3.832213073821145
AMZN,VWAP,0.05,0.1,high,20,1.0,-2.4493577956150174,8.037054040353208
AMZN,VWAP,0.05,0.1,low,20,1.0,-8.750511159358805,1.7297925905550016
AMZN,VWAP,0.05,0.2,base,20,1.0,-6.645518216288875,3.8368710244924826
AMZN,VWAP,0.05,0.2,high,20,1.0,-2.4371620744693456,8.049323092058358
AMZN,VWAP,0.05,0.2,low,20,1.0,-8.749696287199846,1.730644990708408
META,POV,0.01,0.05,base,20,1.0,29.8846544515047,19.763303199116233
META,POV,0.01,0.05,high,20,1.0,34.123404445891865,23.997747885572295
META,POV,0.01,0.05,low,20,1.0,27.765279454311393,17.64608085588748
META,POV,0.01,0.1,base,20,1.0,26.608561532263405,16.538567697555074
META,POV,0.01,0.1,high,20,1.0,31.714822437707774,21.638583361375694
META,POV,0.01,0.1,low,20,1.0,24.055431079539776,13.98855986564329
META,POV,0.01,0.2,base,20,1.0,25.20112833120004,15.217314458551845
META,POV,0.01,0.2,high,20,1.0,31.49132549264608,21.49880944822136
META,POV,0.01,0.2,low,20,1.0,22.05602975047446,12.076566963714896
META,POV,0.03,0.05,base,20,1.0,32.86245911728768,22.328969412897745
META,POV,0.03,0.05,high,20,1.0,37.10944790188464,26.571499138891784
META,POV,0.03,0.05,low,20,1.0,30.73896472498882,20.207704549900395
META,POV,0.03,0.1,base,20,1.0,31.893324331899084,21.632600898716326
META,POV,0.03,0.1,high,20,1.0,37.06509907629188,26.79908578602097
META,POV,0.03,0.1,low,20,1.0,29.30743695970242,19.04935845506378
META,POV,0.03,0.2,base,20,1.0,30.186965407544086,20.078987648576078
META,POV,0.03,0.2,high,20,1.0,36.62663236078521,26.511428417807128
META,POV,0.03,0.2,low,20,1.0,26.96713193092112,16.862767263958244
META,POV,0.05,0.05,base,20,0.9192674866023809,27.37988987643335,16.883652800804782
META,POV,0.05,0.05,high,20,0.9192674866023809,31.282372402110752,21.12408200636229
META,POV,0.05,0.05,low,20,0.9192674866023809,25.428648613594806,14.763438198025781
META,POV,0.05,0.1,base,20,1.0,33.34862371252573,22.893427819805133
META,POV,0.05,0.1,high,20,1.0,38.52324172818639,28.062657727847
META,POV,0.05,0.1,low,20,1.0,30.761314704695753,20.308812865784507
META,POV,0.05,0.2,base,20,1.0,32.17899647725654,21.99428373016876
META,POV,0.05,0.2,high,20,1.0,38.65626886663198,28.465006915291912
META,POV,0.05,0.2,low,20,1.0,28.94036028256678,18.758922137605104
META,TWAP,0.01,0.05,base,20,1.0,15.544008756949632,4.630803407665696
META,TWAP,0.01,0.05,high,20,1.0,18.718449562580055,7.801620530287101
META,TWAP,0.01,0.05,low,20,1.0,13.956788354132408,3.045394846353078
META,TWAP,0.01,0.1,base,20,1.0,15.551579043155371,4.63835390805445
META,TWAP,0.01,0.1,high,20,1.0,18.732357086617423,7.815497783715654
META,TWAP,0.01,0.1,low,20,1.0,13.961190021422174,3.0497819702217095
META,TWAP,0.01,0.2,base,20,1.0,15.552002639672065,4.638782598398395
META,TWAP,0.01,0.2,high,20,1.0,18.733421471737053,7.8165694420077045
META,TWAP,0.01,0.2,low,20,1.0,13.961293223637208,3.0498891765914915
META,TWAP,0.03,0.05,base,20,0.9802320482169856,16.405719874051975,5.349222549726751
META,TWAP,0.03,0.05,high,20,0.9802320482169856,20.19300813145186,9.213662490389796
META,TWAP,0.03,0.05,low,20,0.9802320482169856,14.512075745354943,3.4170025793984755
META,TWAP,0.03,0.1,base,20,1.0,16.33910281313859,5.425317171700028
META,TWAP,0.03,0.1,high,20,1.0,20.349604227769294,9.431165094456517
META,TWAP,0.03,0.1,low,20,1.0,14.333852105823823,3.4223932103227823
META,TWAP,0.03,0.2,base,20,1.0,16.409774977477973,5.495499015250594
META,TWAP,0.03,0.2,high,20,1.0,20.448607346355026,9.529642491259038
META,TWAP,0.03,0.2,low,20,1.0,14.390358793039269,3.4784272772468983
META,TWAP,0.05,0.05,base,20,0.854181229385536,15.76758888574523,4.900615210224835
META,TWAP,0.05,0.05,high,20,0.854181229385536,19.25649231005119,8.992032942496008
META,TWAP,0.05,0.05,low,20,0.854181229385536,14.023137173593776,2.8549063440904687
META,TWAP,0.05,0.1,base,20,0.9954018679660717,16.839124905006493,5.8283262406163
META,TWAP,0.05,0.1,high,20,0.9954018679660717,21.302169872610207,10.309219988272389
META,TWAP,0.05,0.1,low,20,0.9954018679660717,14.607602421204296,3.587879366788228
META,TWAP,0.05,0.2,base,20,1.0,16.97971992612497,6.064765305524689
META,TWAP,0.05,0.2,high,20,1.0,21.59088616709114,10.670542894618993
META,TWAP,0.05,0.2,low,20,1.0,14.674136805641094,3.761876510976647
META,VWAP,0.01,0.05,base,20,1.0,17.534872745563455,6.727353873551834
META,VWAP,0.01,0.05,high,20,1.0,20.633410071191594,9.822466305035526
META,VWAP,0.01,0.05,low,20,1.0,15.98560408274985,5.179797657809182
